Date,Country,Type,Audience,Year,Quarter
2024-09-05 15:16:43,Spanyolország,Szórakozás,Dolgozók,2024,3
2024-09-05 15:18:16,Spanyolország,Szórakozás,Dolgozók,2024,3
2024-09-05 15:18:51,Kína,Fenntarthatóság,Idősek,2024,1
2024-09-05 15:30:14,Franciaország,Életmód,Dolgozók,2024,1
2024-09-05 15:31:15,Ausztrália,Életmód,Vállalkozók,2024,1
2024-09-05 15:31:35,Ausztrália,Életmód,Vállalkozók,2023,4
2024-09-05 15:34:45,Spanyolország,Gazdaság,Munkanélküliek,2023,2
2024-09-05 15:35:01,Ausztrália,Életmód,Vállalkozók,2023,3
2024-09-05 15:35:15,Spanyolország,Gazdaság,Munkanélküliek,2023,2
2024-09-05 15:35:19,Spanyolország,Gazdaság,Munkanélküliek,2023,1
2024-09-05 15:52:18,Spanyolország,Gazdaság,Munkanélküliek,2023,1
2024-09-05 15:53:04,Spanyolország,Gazdaság,Munkanélküliek,2023,1
2024-09-05 15:53:36,Spanyolország,Gazdaság,Munkanélküliek,2023,2
2024-09-05 15:53:41,Spanyolország,Gazdaság,Munkanélküliek,2023,2
2024-09-06 08:37:41,Spanyolország,Gazdaság,Munkanélküliek,2023,2
