Lefordítandó szöveg,Lefordított szöveg,Text to be translated
Fuvarozás mód,Mode of forwarding nxx,Mode of transport
Darab,Piece,Piece
DÍJBEKÉRO,PROFORMA INVOICE,AWARD REQUEST
Név,Name,Name
Sarzs,[ Batch],Batch
Raklap összesítés,RLP sum eng,Pallet summary
Nettó mennyiség,Net weight,Net quantity
"ETK, cikk név",Item,"""ETK, article name"""
Lejárati dátum,Best before,Expiration date
Magyarország,Hungary,Hungary
Fagyos,frozen,It's freezing
Elohutött,fresh,He was cold
Cikk név,Product name,Article name
Szállítás módja,MODE OF TRANSPORT,Shipping method
Szállítás dátuma,DATE D'EXPEDITION,Delivery date
Felrakodás helye,LIEU D’EXPEDITION,Place of loading
Rendszám,CAMION NR,License plate number
Vevo név,CUSTOMER NAME,Vevo name
Számla szám,INVOICE NO,Account number
Raklap,Palette Nr,Pallet
Cikk kód,Item number,Article code
Hutés módja,Type of cooling,Cool way
Karton száma,number of cartons,Carton number
Nettó súly,net weight,Net weight
Konténerszám,CONTAINER NR,Container number
Tétel,Batch,Item
Konténer,CONTAINER,Container
Készletmozgás biz.szám,No.,Stock movement biz. no
Gyártás dátum,Production date,Production date
megjegyzes,note,comment
marha jó,cow good,it's good
Lefúrási szempontok,Drilling considerations,Drilling considerations
szurése,filtering,piercing
Mégsem,Cancel,Not yet
Összes kijelölése,Select all,Select all
Telephely,Location,Site
Súly (kg),Weight (kg),Weight (kg)
Igen,Yes,Yes
Nem,No,No
Üzem,Factory,Plant
Frissítés,Refresh,Update
Fo testtáj,Main body part,Fo body landscape
Utihulla,Roaddeath,Utihulla
Átlagtömeg,Average weight,Average weight
Állomány minosítés,ENG- Állomány minosítés,Stock rating
Egész csirke,Whole chicken,Whole chicken
CSIRKE,CHICKEN,CHICKEN
Számla aláírás és bélyegzo nélkül érvényes.,The invoice is valid without sign and without stamp. Again: the invoice is valid without sign and without stamp,Invoice is valid without signature and stamp.
Adatok,Datas,Data
Dátum,Date,Date
Gyártási lap,Production sheet,Production sheet
Mutat,Show,Shows
Raktár,Store,Storage
Megjegyzés,Comment,Comment
Szöveg,Text,Text
Nyelv név,Language name,Language name
Kód,Code,Mist
Érv.?,Valid?,Argument.?
Vonalkód,Barcode,Bar code
Hálózat státusza: ,Net status: ,Network status:
<font color=green><b>Kapcsolódva</b></font>,<font color=green><b>Connected</b></font>,<font color=green><b>Connected</b></font>
Státusz frissítés,Refresh status,Status update
Státusz lekérdezés,Query status,Status query
<font color=red><b>Leválasztva</b></font>,<font color=red><b>Disconnected</b></font>,<font color=red><b>Disconnected</b></font>
Tetszoleges belso megjegyzés,Any internal comment,Any internal comment
Pénznem: ,Currency:,Currency:
Alapértelmezett számlázási pénznem,Default Invoice currency,Default billing currency
Nyelv,Language,Language
Gombok,Buttons,Buttons
"Adatbázis session
kapcsolat ellenorzése","Database session
connection check","""Database session"
