Lefordítandó szöveg,Lefordított szöveg
Fuvarozás mód,Mode of forwarding nxx
Darab,Piece
DÍJBEKÉRO,PROFORMA INVOICE
Név,Name
Sarzs,[ Batch]
Raklap összesítés,RLP sum eng
Nettó mennyiség,Net weight
"ETK, cikk név",Item
Lejárati dátum,Best before
Magyarország,Hungary
Fagyos,frozen
Elohutött,fresh
Cikk név,Product name
Szállítás módja,MODE OF TRANSPORT
Szállítás dátuma,DATE D'EXPEDITION
Felrakodás helye,LIEU D’EXPEDITION
Rendszám,CAMION NR
Vevo név,CUSTOMER NAME
Számla szám,INVOICE NO
Raklap,Palette Nr
Cikk kód,Item number
Hutés módja,Type of cooling
Karton száma,number of cartons
Nettó súly,net weight
Konténerszám,CONTAINER NR
Tétel,Batch
Konténer,CONTAINER
Készletmozgás biz.szám,No.
Gyártás dátum,Production date
megjegyzes,note
marha jó,cow good
Lefúrási szempontok,Drilling considerations
szurése,filtering
Mégsem,Cancel
Összes kijelölése,Select all
Telephely,Location
Súly (kg),Weight (kg)
Igen,Yes
Nem,No
Üzem,Factory
Frissítés,Refresh
Fo testtáj,Main body part
Utihulla,Roaddeath
Átlagtömeg,Average weight
Állomány minosítés,ENG- Állomány minosítés
Egész csirke,Whole chicken
CSIRKE,CHICKEN
Számla aláírás és bélyegzo nélkül érvényes.,The invoice is valid without sign and without stamp. Again: the invoice is valid without sign and without stamp
Adatok,Datas
Dátum,Date
Gyártási lap,Production sheet
Mutat,Show
Raktár,Store
Megjegyzés,Comment
Szöveg,Text
Nyelv név,Language name
Kód,Code
Érv.?,Valid?
Vonalkód,Barcode
Hálózat státusza: ,Net status: 
<font color=green><b>Kapcsolódva</b></font>,<font color=green><b>Connected</b></font>
Státusz frissítés,Refresh status
Státusz lekérdezés,Query status
<font color=red><b>Leválasztva</b></font>,<font color=red><b>Disconnected</b></font>
Tetszoleges belso megjegyzés,Any internal comment
Pénznem: ,Currency:
Alapértelmezett számlázási pénznem,Default Invoice currency
Nyelv,Language
Gombok,Buttons
"Adatbázis session
kapcsolat ellenorzése","Database session
connection check"
"Újracsatlakozás
adatbázishoz","Reconnect
to database"
Elso fül,First tab
Második fül,Second tab
Harmadik fül,Third tab
Utolsó fül,[Last tab']
Munkafüzet betöltése...,[Loading workbook ...]
Település,[ City ]
Ország név,[ Country name ]
Skontó (%),[Discount (%)]
 Táblázatban a rendeltek megjelenjenek? ,[Should the orders appear in a table? ]
Felhasználó kód,[ User code ]
Munkaszám név,[Work number name]
Mennyiség,[ Quantity ]
M.e.,[ M.e. ]
Pénznem név,[ Currency name ]
Ügynök kód,[Agent code]
Múlt év,[Last year]
Partner típus,[Partner Type ]
Hivatkozás,[Link]
Fizetési mód név,[Payment method name]
Egyéb adatok,[Other data[ ]
Múlt hónap,[Last month]
Év,[ Year ]
Státusz,[ Status ]
Ügynök név,[Agent name]
Partner típus név,[ Partner type name [ ]
  Készültség: ,[Preparation: ]
Hónap,[ Month ]
IBAN,[ ]
Nap,[ Day]
Ma,[Ma]
Szállítási cím,Delivery adress
Érvényesítés,[ ]
(*)A lefordítandó szöveg,[ (*) Text to be translated ]
Bankszámla kód,[Bank account code ]
Biz.szám,[Receipt number]
Áru kód,[ Commodity code ]
Leírás,[ Description ]
Cím név,[ Address name ]
Alapadatok,[ Basic data ]
Cím,[ Address ]
"Alap
egységár",[Fund\n]
Nyelv kód,[ Language code ]
Darab (gyujto),[Piece (collective)]
Bejelento adószáma,[Declarant's tax number]
Szint: ,[Level: ]
Termény vásárlás prioritás: ,[ Crop purchase priority: ]
Termény vásárlás ártípus: ,[ Crop purchase price type: ]
Generált cím: ,[ Generated address: ]
 Igazolt szállítólevél átadás?,[ Certified delivery note transfer ]
Érv.vége,[ Argument end ]
Közterület név: ,[ Public area name: ]
Árukíséro adattartalom: ,[ Accompanying data content: ]
"Adó árfolyam
típus kód",[ Tax rate\n]
Termény vásárlás pénznem: ,[Crop purchase currency: ]
"Beszerzés árfolyam
típus kód",[ Purchase rate\n]
Munkalap fokönyvi napló: ,[Worksheet ledger: ]
Lépcsoház: ,[ Staircase: ]
Rövid név,[ Short name ]
Fokönyvi bizonylat határnap: ,[ General ledger deadline: ]
Érték,[ Value ]
Adó árfolyam típus:,[ Tax rate type: ]
Bolti terhelés jogcím:,[ Store Debit Item: ]
Árfolyam típus kód,[ Exchange Rate Type Code ]
Ajtó: ,[ Door: ]
Határnapok,[ Deadlines ]
Tételképzési mód(termelési): ,[ Item Formation (Production): ]
Készlet feladás fokönyvi napló: ,[ Stock Posting General Ledger: ]
"Érvényesség
vége",[ Validity\n]
Adó kulcs,[Tax rate ]
 Csak szállítólevél kezelés?,[ Delivery note handling only ]
Árfolyam típus idoszak,[ Exchange rate type period ]
Árfolyamok,[ Exchange rates ]
Költséghely: ,[ Cost center: ]
Pénztár fokönyvi napló: ,[ Cash register ledger: ]
Bank fokönyvi napló:,[ Bank ledger: ]
Székhely cím,[ Registered office address ]
Fordított ÁFA szabály,[ Reverse VAT rule ]
Csoport azonosító szám: ,[Group identification number: ]
Épület: ,[ Building: ]
(*)A nyelv kódja,[(*) Language code]
Alternatív név,[Alternative name]
Címke,[ Label ]
(*)Kód,[ (*) Code ]
Üzenet,Message
OK,OK 
Elnevezés,Name 
Kilépés, Exit 
Módosít, Change 
Feltölt, Upload 
Törlés, Delete 
Automatikus feltölt?, Auto-fill?
Partner név,[ Partner name ]
Paraméter,Parameter 
Email cím,[Email address ]
Partner kód,[ Partner code ]
Egalizált mennyiségtol eltérhet?,[Can it differ from the equalized amount?]
Felhasználó név,[ Username ]
Ország kód,[Country code ]
Text típusú értékkészlet,[Text type value set]
(*)Elnevezés,[ (*) Name ]
(*)[Vállalat]->A vállalat egyedi kódja,[(*) [Company] -\u003e Unique company code]
Vállalat kód,[ Company code ]
Vállalat név,[ Company name]
A sima felirat,['The plain caption]
"Az ""idézojeles"" felirat",['The caption']
Utolsó elotti fül,[Last penultimate tab]
Aposztrófos' fül,[Apostrophe' tab ']
"<font color=red><b>A piros, HTML felirat</b></font>","[The red, HTML caption]"
A pontozott... felirat,['The dotted ... caption]
ISO-639-1 kód,ISO-639-1 code
Vonalkód:, Barcode:
Raklap: ,[Pallet:]
Hova: , To: 
A módosítások a következo bejelentkezéskor lépnek életbe.,[ Changes take effect the next time you log in. ]
Típus, Type 
Séma, Schema 
A séma neve,[ Schema Name ]
Tárolt eljárások,[ Stored Procedures]
A tárolt eljárás neve,[Name of the stored procedure ]
A visszatérési érték típusa,[ Type of return value ]
