Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Player003e,1,WormsAr,55,1,88,100,46,98,52
Player001d,2,SnL,10,25,99,97,97,87,41
Player000d,3,TF2,82,98,50,27,50,61,63
Player003c,4,Doom2dm,26,44,85,66,42,83,45
Player005a,5,WormsAr,25,36,44,57,49,17,22
Player0025,6,WormsAr,56,27,3,50,7,53,45
Player003c,7,WormsAr,68,89,59,18,3,89,11
Player0060,8,WormsAr,94,36,3,90,18,87,6
Player0055,9,WormsAr,92,33,49,21,54,1,100
Player0052,10,TF2,39,44,57,49,80,65,85
Player003e,11,SnL,99,12,53,66,8,94,21
Player001e,12,Doom2dm,85,22,60,1,79,56,65
Player0009,13,Doom2dm,14,66,27,15,39,22,29
Player004d,14,SnL,62,58,1,8,16,68,6
Player0030,15,WormsAr,67,62,50,20,10,73,51
Player0058,16,Doom2dm,97,3,100,47,51,8,72
Player001d,17,TF2,10,6,36,70,38,36,93
Player0031,18,TF2,2,4,85,41,81,59,36
Player0047,19,SnL,52,72,54,48,19,70,72
Player0040,20,WormsAr,35,67,66,25,32,65,61
Player0064,21,SnL,23,39,11,76,95,47,81
Player0035,22,WormsAr,93,100,34,20,59,48,57
Player004e,23,SnL,61,51,81,21,93,69,19
Player0007,24,SnL,96,85,63,56,44,57,17
Player0031,25,TF2,73,58,92,100,60,38,94
Player0027,26,TF2,77,24,33,85,9,46,47
Player003f,27,TF2,99,72,61,84,39,10,53
Player005e,28,WormsAr,26,2,9,64,40,1,18
Player005d,29,SnL,86,89,95,43,67,67,48
Player001a,30,SnL,60,6,5,60,16,76,25
Player001d,31,TF2,33,51,27,19,46,5,87
Player0006,32,SnL,66,79,44,82,56,94,6
Player0048,33,WormsAr,91,45,73,38,44,14,89
Player001c,34,TF2,84,82,2,66,57,34,63
Player0024,35,WormsAr,53,71,75,94,1,44,20
Player001c,36,SnL,26,9,33,69,94,96,12
Player0060,37,Doom2dm,18,7,76,93,93,51,56
Player0061,38,Doom2dm,22,85,37,72,87,85,12
Player0015,39,TF2,83,9,58,51,79,22,99
Player0062,40,WormsAr,48,84,68,67,24,11,61
Player0008,41,SnL,33,44,24,87,40,87,22
Player0004,42,Doom2dm,10,51,65,47,91,59,95
Player001a,43,TF2,10,44,8,68,99,23,55
Player0018,44,TF2,70,12,50,63,100,59,76
Player0048,45,Doom2dm,38,18,68,14,34,42,61
Player004a,46,WormsAr,90,98,2,32,22,70,100
Player0052,47,WormsAr,43,91,48,97,36,83,64
Player0055,48,Doom2dm,78,43,11,100,57,24,82
Player005f,49,TF2,59,21,7,64,59,16,43
Player002a,50,TF2,46,95,60,48,67,50,15
Player0052,51,WormsAr,54,23,27,59,40,84,67
Player005c,52,TF2,45,79,41,89,33,80,59
Player000a,53,WormsAr,13,62,88,14,21,33,99
Player001f,54,SnL,38,44,71,7,61,98,80
Player0037,55,WormsAr,12,33,21,65,77,23,83
Player0049,56,Doom2dm,7,15,17,22,17,88,85
Player000a,57,SnL,79,90,3,75,20,13,71
Player003f,58,SnL,33,53,59,88,44,58,87
Player0023,59,Doom2dm,35,47,88,32,47,31,59
Player004f,60,TF2,17,64,9,27,62,34,44
Player004b,61,TF2,63,34,97,98,29,17,28
Player0041,62,TF2,10,14,72,86,18,100,76
Player0021,63,TF2,94,67,74,87,95,70,92
Player0022,64,SnL,5,50,42,5,3,39,93
Player005b,65,SnL,86,84,90,11,29,64,78
Player002f,66,SnL,63,97,81,65,96,31,34
Player0013,67,TF2,31,32,47,62,30,39,10
Player0039,68,SnL,28,14,19,5,72,1,68
Player001e,69,Doom2dm,61,2,58,19,73,92,53
Player0042,70,SnL,78,65,32,28,62,39,20
Player001c,71,WormsAr,52,99,82,43,79,65,94
Player0008,72,Doom2dm,98,78,95,64,1,74,23
Player002a,73,SnL,89,30,28,58,72,58,41
Player0030,74,TF2,73,55,14,30,50,72,12
Player0031,75,TF2,15,69,89,72,54,98,17
Player001f,76,WormsAr,70,2,18,83,48,54,16
Player0001,77,Doom2dm,35,77,36,38,12,41,35
Player0016,78,WormsAr,48,7,72,79,81,77,1
Player000d,79,WormsAr,40,39,93,26,82,33,74
Player004d,80,Doom2dm,42,66,29,83,39,52,71
Player0052,81,WormsAr,47,11,1,3,40,83,29
Player000d,82,SnL,99,1,19,45,40,51,86
Player005c,83,Doom2dm,51,3,33,57,29,76,73
Player0024,84,WormsAr,7,36,48,69,28,5,51
Player0047,85,TF2,99,20,3,81,100,93,72
Player001f,86,WormsAr,17,53,2,36,77,4,29
Player004a,87,Doom2dm,56,96,48,53,44,26,42
Player0063,88,WormsAr,50,54,63,40,90,64,39
Player0052,89,Doom2dm,79,88,39,25,51,87,39
Player0032,90,Doom2dm,70,20,95,81,76,92,53
Player0049,91,Doom2dm,54,14,24,28,5,50,48
Player0026,92,WormsAr,83,27,25,22,16,79,40
Player0040,93,Doom2dm,67,54,11,1,89,3,72
Player001e,94,TF2,8,89,79,58,50,74,42
Player0024,95,WormsAr,28,44,69,78,47,36,41
Player0028,96,WormsAr,19,11,27,70,52,88,95
Player004b,97,Doom2dm,19,52,25,19,71,47,7
Player0049,98,Doom2dm,41,26,33,13,33,52,17
Player0024,99,SnL,61,70,67,13,30,11,60
Player0011,100,Doom2dm,49,22,12,98,62,69,73
