Event,EarnedRank,RankScore,Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Table_0001,157,232,Player000b,47.0,WormsAr,7.0,88.0,22.0,52.0,31.0,10.0,96.0
Table_0001,12,846,Player000b,32.0,TF2,65.0,54.0,15.0,49.0,95.0,98.0,13.0
Table_0001,10,1063,Player000b,19.0,SnL,51.0,19.0,98.0,81.0,97.0,60.0,56.0
Table_0002,103,471,Player000b,6.0,SnL,33.0,18.0,12.0,34.0,64.0,14.0,48.0
Table_0002,10,637,Player000b,10.0,Doom2dm,24.0,46.0,65.0,12.0,96.0,10.0,1.0
Table_0002,98,637,Player000b,12.0,TF2,7.0,18.0,14.0,40.0,48.0,80.0,52.0
Table_0002,108,439,Player000b,2.0,WormsAr,54.0,62.0,62.0,14.0,49.0,17.0,12.0
Table_0003,43,727,Player000b,27.0,SnL,88.0,29.0,62.0,5.0,82.0,7.0,39.0
Table_0003,80,1040,Player000b,50.0,Doom2dm,93.0,80.0,68.0,2.0,69.0,97.0,86.0
Table_0003,137,332,Player000b,44.0,TF2,78.0,92.0,67.0,28.0,41.0,3.0,24.0
Table_0003,86,643,Player000b,76.0,WormsAr,25.0,17.0,37.0,87.0,62.0,41.0,77.0
Table_0004,105,758,Player000b,71.0,SnL,86.0,16.0,89.0,35.0,54.0,17.0,67.0
Table_0004,92,813,Player000b,19.0,Doom2dm,49.0,31.0,50.0,72.0,56.0,88.0,58.0
Table_0004,41,961,Player000b,29.0,TF2,45.0,77.0,92.0,34.0,82.0,57.0,95.0
Table_0004,131,461,Player000b,67.0,WormsAr,27.0,65.0,62.0,11.0,45.0,38.0,6.0
Table_0005,94,421,Player000b,52.0,SnL,66.0,89.0,61.0,27.0,61.0,7.0,22.0
Table_0005,10,702,Player000b,64.0,Doom2dm,75.0,7.0,2.0,2.0,97.0,8.0,60.0
Table_0005,77,493,Player000b,35.0,WormsAr,78.0,46.0,20.0,89.0,72.0,29.0,30.0
Table_0006,115,664,Player000b,14.0,WormsAr,54.0,3.0,62.0,4.0,52.0,29.0,29.0
Table_0006,28,957,Player000b,60.0,Doom2dm,85.0,76.0,95.0,56.0,87.0,72.0,36.0
Table_0006,30,1021,Player000b,86.0,SnL,36.0,19.0,83.0,60.0,88.0,81.0,35.0
Table_0007,23,621,Player000b,64.0,Doom2dm,54.0,78.0,34.0,13.0,94.0,39.0,4.0
Table_0007,52,618,Player000b,11.0,WormsAr,96.0,61.0,21.0,2.0,79.0,21.0,52.0
Table_0008,49,586,Player000b,83.0,SnL,32.0,47.0,72.0,47.0,75.0,19.0,14.0
Table_0008,9,568,Player000b,60.0,Doom2dm,40.0,68.0,79.0,88.0,95.0,3.0,14.0
Table_0008,74,631,Player000b,91.0,TF2,22.0,55.0,22.0,56.0,71.0,39.0,99.0
Table_0008,169,651,Player000b,86.0,WormsAr,18.0,21.0,58.0,78.0,27.0,99.0,24.0
Table_0009,193,562,Player000b,91.0,WormsAr,85.0,12.0,76.0,30.0,15.0,18.0,78.0
Table_0009,123,706,Player000b,88.0,TF2,44.0,28.0,8.0,5.0,47.0,80.0,72.0
Table_0009,13,927,Player000b,61.0,SnL,64.0,53.0,65.0,86.0,96.0,74.0,42.0
