Event,EarnedRank,RankScore,Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Table_0001,7,552,Player000e,33.0,WormsAr,65.0,89.0,24.0,36.0,99.0,29.0,9.0
Table_0001,74,684,Player000e,33.0,Doom2dm,12.0,43.0,64.0,28.0,62.0,42.0,58.0
Table_0001,5,956,Player000e,62.0,SnL,74.0,63.0,63.0,56.0,99.0,47.0,96.0
Table_0002,127,922,Player000e,11.0,SnL,19.0,45.0,100.0,1.0,54.0,94.0,24.0
Table_0002,84,708,Player000e,81.0,WormsAr,11.0,55.0,71.0,53.0,61.0,43.0,85.0
Table_0003,12,910,Player000e,84.0,SnL,95.0,39.0,88.0,18.0,97.0,7.0,67.0
Table_0003,21,595,Player000e,6.0,Doom2dm,27.0,81.0,31.0,91.0,94.0,47.0,35.0
Table_0003,189,192,Player000e,11.0,TF2,22.0,4.0,14.0,27.0,19.0,16.0,2.0
Table_0003,8,612,Player000e,22.0,WormsAr,93.0,90.0,54.0,95.0,94.0,5.0,71.0
Table_0004,8,659,Player000e,22.0,SnL,37.0,31.0,12.0,46.0,96.0,21.0,65.0
Table_0004,13,925,Player000e,97.0,Doom2dm,8.0,78.0,92.0,2.0,97.0,64.0,29.0
Table_0004,59,608,Player000e,81.0,TF2,29.0,53.0,43.0,6.0,76.0,1.0,89.0
Table_0004,108,526,Player000e,85.0,WormsAr,6.0,32.0,75.0,24.0,55.0,5.0,44.0
Table_0005,34,885,Player000e,31.0,SnL,20.0,75.0,86.0,19.0,88.0,35.0,98.0
Table_0005,49,691,Player000e,19.0,Doom2dm,61.0,63.0,98.0,10.0,80.0,2.0,32.0
Table_0005,17,577,Player000e,74.0,TF2,34.0,85.0,10.0,26.0,93.0,11.0,100.0
Table_0005,16,622,Player000e,43.0,WormsAr,59.0,58.0,7.0,83.0,95.0,28.0,77.0
Table_0006,60,300,Player000e,6.0,WormsAr,31.0,71.0,11.0,74.0,76.0,7.0,22.0
Table_0006,48,724,Player000e,86.0,Doom2dm,76.0,53.0,14.0,27.0,75.0,78.0,26.0
Table_0006,26,704,Player000e,70.0,TF2,61.0,32.0,9.0,33.0,91.0,36.0,57.0
Table_0006,36,604,Player000e,5.0,SnL,80.0,43.0,10.0,13.0,85.0,38.0,8.0
Table_0007,172,632,Player000e,98.0,SnL,42.0,27.0,72.0,12.0,28.0,40.0,70.0
Table_0007,141,500,Player000e,64.0,Doom2dm,90.0,96.0,12.0,86.0,36.0,84.0,68.0
Table_0007,39,482,Player000e,54.0,TF2,22.0,44.0,24.0,91.0,87.0,29.0,8.0
Table_0007,44,726,Player000e,52.0,WormsAr,61.0,16.0,54.0,68.0,83.0,6.0,82.0
Table_0008,43,545,Player000e,27.0,SnL,12.0,6.0,24.0,66.0,81.0,5.0,57.0
Table_0008,5,914,Player000e,77.0,Doom2dm,17.0,77.0,84.0,78.0,97.0,61.0,74.0
Table_0008,4,945,Player000e,21.0,TF2,7.0,66.0,52.0,83.0,99.0,82.0,87.0
Table_0008,151,337,Player000e,62.0,WormsAr,39.0,39.0,1.0,52.0,33.0,63.0,4.0
Table_0009,91,645,Player000e,69.0,WormsAr,41.0,86.0,34.0,29.0,59.0,66.0,72.0
Table_0009,152,685,Player000e,33.0,Doom2dm,41.0,52.0,91.0,11.0,38.0,24.0,100.0
Table_0009,72,952,Player000e,46.0,TF2,68.0,5.0,90.0,69.0,71.0,67.0,35.0
Table_0009,45,584,Player000e,47.0,SnL,18.0,63.0,53.0,33.0,82.0,10.0,58.0
