Event,EarnedRank,RankScore,Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Table_0001,38,709,Player001f,10.0,WormsAr,75.0,65.0,21.0,22.0,83.0,45.0,64.0
Table_0001,179,716,Player001f,8.0,Doom2dm,47.0,16.0,60.0,6.0,21.0,96.0,19.0
Table_0001,33,826,Player001f,3.0,TF2,83.0,22.0,67.0,45.0,85.0,20.0,63.0
Table_0001,76,1013,Player001f,54.0,SnL,38.0,44.0,71.0,7.0,61.0,98.0,80.0
Table_0002,4,749,Player001f,99.0,SnL,9.0,10.0,10.0,88.0,98.0,77.0,10.0
Table_0002,86,363,Player001f,48.0,Doom2dm,69.0,74.0,5.0,98.0,55.0,47.0,31.0
Table_0002,20,1040,Player001f,80.0,TF2,40.0,78.0,84.0,31.0,89.0,74.0,97.0
Table_0002,20,603,Player001f,8.0,WormsAr,33.0,31.0,5.0,85.0,94.0,21.0,74.0
Table_0003,75,588,Player001f,8.0,SnL,7.0,71.0,6.0,11.0,68.0,45.0,98.0
Table_0003,54,876,Player001f,15.0,Doom2dm,3.0,56.0,59.0,34.0,82.0,91.0,34.0
Table_0003,16,866,Player001f,23.0,TF2,25.0,26.0,34.0,22.0,91.0,50.0,79.0
Table_0003,28,1001,Player001f,72.0,WormsAr,60.0,89.0,94.0,8.0,87.0,96.0,13.0
Table_0004,23,838,Player001f,57.0,SnL,86.0,9.0,49.0,80.0,91.0,32.0,60.0
Table_0004,69,743,Player001f,87.0,Doom2dm,38.0,42.0,37.0,88.0,68.0,99.0,15.0
Table_0004,123,473,Player001f,97.0,TF2,41.0,5.0,35.0,52.0,47.0,11.0,55.0
Table_0005,23,807,Player001f,4.0,SnL,22.0,31.0,79.0,39.0,93.0,1.0,90.0
Table_0005,23,920,Player001f,62.0,Doom2dm,96.0,85.0,2.0,59.0,91.0,98.0,100.0
Table_0005,130,623,Player001f,75.0,TF2,99.0,32.0,84.0,89.0,41.0,16.0,78.0
Table_0005,29,685,Player001f,18.0,WormsAr,25.0,95.0,99.0,94.0,93.0,16.0,59.0
Table_0006,15,501,Player001f,55.0,WormsAr,17.0,73.0,12.0,99.0,95.0,25.0,59.0
Table_0006,16,605,Player001f,10.0,Doom2dm,83.0,68.0,63.0,86.0,91.0,18.0,14.0
Table_0006,43,563,Player001f,46.0,TF2,74.0,71.0,18.0,8.0,83.0,12.0,61.0
Table_0006,9,1032,Player001f,100.0,SnL,2.0,78.0,69.0,82.0,97.0,95.0,98.0
Table_0007,23,636,Player001f,88.0,SnL,58.0,13.0,37.0,94.0,91.0,31.0,4.0
Table_0007,157,220,Player001f,34.0,Doom2dm,31.0,60.0,52.0,47.0,28.0,8.0,14.0
Table_0007,47,658,Player001f,11.0,TF2,1.0,9.0,4.0,3.0,84.0,21.0,81.0
Table_0007,35,796,Player001f,32.0,WormsAr,83.0,43.0,70.0,15.0,88.0,12.0,58.0
Table_0008,52,935,Player001f,76.0,Doom2dm,83.0,78.0,80.0,10.0,80.0,81.0,27.0
Table_0008,10,793,Player001f,8.0,TF2,70.0,13.0,29.0,66.0,96.0,24.0,76.0
Table_0008,41,833,Player001f,27.0,WormsAr,5.0,36.0,82.0,80.0,82.0,64.0,34.0
Table_0009,220,309,Player001f,99.0,WormsAr,100.0,99.0,26.0,97.0,4.0,85.0,33.0
Table_0009,70,693,Player001f,84.0,Doom2dm,41.0,36.0,75.0,34.0,75.0,11.0,57.0
Table_0009,149,529,Player001f,46.0,TF2,81.0,19.0,15.0,81.0,40.0,77.0,7.0
Table_0009,140,564,Player001f,78.0,SnL,10.0,2.0,9.0,36.0,35.0,84.0,28.0
