Event,EarnedRank,RankScore,Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Table_0001,82,507,Player002d,30.0,Doom2dm,25.0,85.0,40.0,65.0,59.0,67.0,17.0
Table_0001,130,464,Player002d,90.0,TF2,78.0,97.0,38.0,51.0,37.0,64.0,38.0
Table_0001,62,693,Player002d,67.0,SnL,56.0,18.0,29.0,15.0,71.0,27.0,69.0
Table_0002,50,694,Player002d,87.0,SnL,84.0,84.0,28.0,1.0,85.0,60.0,15.0
Table_0002,31,829,Player002d,27.0,Doom2dm,2.0,69.0,54.0,38.0,83.0,94.0,25.0
Table_0002,12,571,Player002d,89.0,TF2,55.0,51.0,7.0,17.0,94.0,31.0,10.0
Table_0002,17,1018,Player002d,37.0,WormsAr,99.0,59.0,56.0,24.0,95.0,90.0,29.0
Table_0003,23,902,Player002d,50.0,SnL,44.0,88.0,48.0,67.0,91.0,82.0,87.0
Table_0003,15,914,Player002d,66.0,Doom2dm,76.0,20.0,8.0,87.0,97.0,75.0,78.0
Table_0003,73,557,Player002d,84.0,TF2,40.0,21.0,32.0,71.0,70.0,25.0,42.0
Table_0003,51,649,Player002d,7.0,WormsAr,35.0,24.0,5.0,4.0,79.0,44.0,40.0
Table_0004,20,991,Player002d,77.0,SnL,16.0,99.0,72.0,97.0,92.0,100.0,97.0
Table_0004,6,994,Player002d,39.0,Doom2dm,2.0,75.0,90.0,49.0,99.0,89.0,35.0
Table_0004,28,648,Player002d,35.0,TF2,61.0,94.0,64.0,15.0,86.0,20.0,44.0
Table_0004,48,615,Player002d,70.0,WormsAr,75.0,40.0,38.0,93.0,81.0,44.0,9.0
Table_0005,198,606,Player002d,6.0,SnL,71.0,17.0,60.0,63.0,16.0,70.0,46.0
Table_0005,161,295,Player002d,50.0,Doom2dm,52.0,50.0,33.0,64.0,28.0,23.0,38.0
Table_0005,82,623,Player002d,60.0,TF2,92.0,89.0,50.0,75.0,62.0,45.0,72.0
Table_0005,15,816,Player002d,78.0,WormsAr,31.0,4.0,24.0,95.0,96.0,56.0,56.0
Table_0006,17,1039,Player002d,73.0,WormsAr,42.0,37.0,25.0,2.0,94.0,92.0,80.0
Table_0006,24,957,Player002d,75.0,Doom2dm,37.0,3.0,64.0,31.0,89.0,33.0,94.0
Table_0006,9,601,Player002d,26.0,TF2,22.0,55.0,3.0,3.0,95.0,29.0,46.0
Table_0006,53,776,Player002d,94.0,SnL,35.0,16.0,12.0,83.0,80.0,85.0,40.0
Table_0007,146,309,Player002d,57.0,SnL,25.0,34.0,28.0,51.0,39.0,28.0,6.0
Table_0007,38,677,Player002d,84.0,Doom2dm,21.0,55.0,65.0,24.0,87.0,37.0,6.0
Table_0007,86,801,Player002d,5.0,TF2,60.0,77.0,53.0,42.0,66.0,77.0,70.0
Table_0007,201,618,Player002d,24.0,WormsAr,23.0,25.0,95.0,86.0,16.0,73.0,37.0
Table_0008,3,891,Player002d,11.0,SnL,26.0,99.0,75.0,95.0,99.0,62.0,95.0
Table_0008,62,736,Player002d,36.0,Doom2dm,52.0,75.0,15.0,49.0,76.0,72.0,85.0
Table_0008,50,916,Player002d,35.0,TF2,84.0,39.0,25.0,14.0,81.0,97.0,28.0
Table_0008,17,1050,Player002d,64.0,WormsAr,13.0,46.0,93.0,56.0,94.0,89.0,40.0
Table_0009,144,625,Player002d,31.0,WormsAr,91.0,73.0,10.0,8.0,36.0,99.0,41.0
Table_0009,4,689,Player002d,9.0,Doom2dm,91.0,98.0,35.0,3.0,98.0,29.0,43.0
Table_0009,36,692,Player002d,30.0,TF2,96.0,69.0,72.0,20.0,84.0,28.0,3.0
Table_0009,131,812,Player002d,74.0,SnL,91.0,49.0,99.0,44.0,40.0,89.0,5.0
