Event,EarnedRank,RankScore,Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Table_0001,20,755,Player003c,28.0,WormsAr,27.0,22.0,17.0,31.0,90.0,50.0,51.0
Table_0001,98,675,Player003c,27.0,Doom2dm,47.0,15.0,67.0,22.0,55.0,24.0,54.0
Table_0002,73,807,Player003c,47.0,Doom2dm,58.0,14.0,87.0,68.0,62.0,63.0,11.0
Table_0002,138,650,Player003c,75.0,TF2,95.0,76.0,28.0,85.0,30.0,98.0,83.0
Table_0002,79,581,Player003c,86.0,WormsAr,97.0,92.0,2.0,18.0,64.0,89.0,2.0
Table_0003,93,713,Player003c,67.0,SnL,55.0,58.0,83.0,7.0,60.0,56.0,4.0
Table_0003,126,574,Player003c,91.0,Doom2dm,16.0,82.0,2.0,37.0,47.0,80.0,99.0
Table_0003,179,439,Player003c,16.0,TF2,50.0,6.0,9.0,18.0,24.0,63.0,10.0
Table_0003,135,442,Player003c,27.0,WormsAr,9.0,99.0,36.0,59.0,40.0,79.0,33.0
Table_0004,15,788,Player003c,12.0,SnL,4.0,55.0,31.0,26.0,93.0,57.0,67.0
Table_0004,35,663,Player003c,64.0,TF2,14.0,60.0,75.0,51.0,83.0,30.0,30.0
Table_0005,71,668,Player003c,20.0,SnL,41.0,82.0,79.0,17.0,69.0,26.0,61.0
Table_0005,16,1005,Player003c,68.0,Doom2dm,70.0,40.0,94.0,89.0,94.0,68.0,40.0
Table_0005,12,1053,Player003c,8.0,WormsAr,87.0,82.0,82.0,78.0,96.0,94.0,53.0
Table_0006,86,699,Player003c,82.0,WormsAr,71.0,96.0,95.0,88.0,65.0,69.0,11.0
Table_0006,198,301,Player003c,46.0,Doom2dm,23.0,87.0,87.0,49.0,12.0,29.0,32.0
Table_0006,105,833,Player003c,79.0,TF2,7.0,40.0,99.0,38.0,53.0,50.0,91.0
Table_0006,182,402,Player003c,36.0,SnL,3.0,62.0,42.0,30.0,31.0,59.0,18.0
Table_0007,74,389,Player003c,44.0,SnL,32.0,81.0,8.0,65.0,76.0,40.0,10.0
Table_0007,48,893,Player003c,42.0,Doom2dm,40.0,49.0,100.0,90.0,83.0,47.0,69.0
Table_0007,112,497,Player003c,40.0,TF2,33.0,28.0,59.0,75.0,54.0,22.0,30.0
Table_0008,114,331,Player003c,50.0,SnL,24.0,92.0,40.0,71.0,44.0,10.0,91.0
Table_0008,106,635,Player003c,89.0,Doom2dm,95.0,9.0,13.0,24.0,61.0,16.0,87.0
Table_0008,65,518,Player003c,56.0,TF2,14.0,32.0,20.0,8.0,76.0,11.0,46.0
Table_0008,23,798,Player003c,57.0,WormsAr,3.0,61.0,55.0,17.0,91.0,65.0,27.0
Table_0009,21,1151,Player003c,50.0,WormsAr,70.0,23.0,95.0,66.0,92.0,85.0,54.0
Table_0009,2,992,Player003c,100.0,Doom2dm,46.0,9.0,74.0,88.0,100.0,66.0,33.0
Table_0009,3,820,Player003c,91.0,SnL,88.0,53.0,50.0,16.0,100.0,49.0,4.0
