Event,EarnedRank,RankScore,Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Table_0001,160,384,Player004a,77.0,WormsAr,32.0,69.0,60.0,15.0,29.0,37.0,16.0
Table_0001,123,363,Player004a,87.0,Doom2dm,56.0,96.0,48.0,53.0,44.0,26.0,42.0
Table_0001,114,634,Player004a,87.0,TF2,26.0,49.0,59.0,50.0,47.0,69.0,34.0
Table_0002,28,929,Player004a,59.0,SnL,62.0,50.0,85.0,69.0,91.0,39.0,85.0
Table_0002,40,921,Player004a,6.0,Doom2dm,41.0,26.0,39.0,98.0,77.0,82.0,100.0
Table_0002,28,899,Player004a,66.0,TF2,17.0,6.0,40.0,28.0,84.0,70.0,51.0
Table_0002,15,476,Player004a,69.0,WormsAr,11.0,89.0,40.0,39.0,96.0,10.0,21.0
Table_0003,171,389,Player004a,54.0,SnL,9.0,36.0,72.0,77.0,21.0,17.0,70.0
Table_0003,10,758,Player004a,22.0,Doom2dm,65.0,55.0,44.0,1.0,98.0,9.0,73.0
Table_0003,29,816,Player004a,33.0,WormsAr,21.0,72.0,51.0,95.0,87.0,64.0,95.0
Table_0004,11,1007,Player004a,28.0,SnL,1.0,3.0,64.0,77.0,95.0,57.0,97.0
Table_0004,49,825,Player004a,65.0,Doom2dm,29.0,34.0,81.0,63.0,80.0,34.0,74.0
Table_0004,147,695,Player004a,69.0,TF2,51.0,66.0,56.0,62.0,36.0,98.0,49.0
Table_0004,17,779,Player004a,43.0,WormsAr,30.0,79.0,32.0,37.0,96.0,63.0,58.0
Table_0005,60,669,Player004a,34.0,SnL,73.0,87.0,57.0,38.0,73.0,23.0,90.0
Table_0005,200,523,Player004a,98.0,Doom2dm,4.0,12.0,63.0,76.0,8.0,54.0,87.0
Table_0005,37,732,Player004a,17.0,TF2,56.0,81.0,52.0,30.0,84.0,34.0,78.0
Table_0005,127,722,Player004a,56.0,WormsAr,94.0,54.0,41.0,88.0,47.0,88.0,57.0
Table_0006,159,583,Player004a,31.0,WormsAr,1.0,1.0,11.0,32.0,33.0,61.0,87.0
Table_0006,6,942,Player004a,24.0,TF2,67.0,96.0,71.0,81.0,97.0,66.0,93.0
Table_0006,27,703,Player004a,49.0,SnL,98.0,28.0,8.0,33.0,90.0,29.0,52.0
Table_0007,129,620,Player004a,13.0,SnL,76.0,52.0,57.0,58.0,47.0,41.0,68.0
Table_0007,53,369,Player004a,53.0,Doom2dm,63.0,100.0,7.0,86.0,81.0,17.0,49.0
Table_0007,20,764,Player004a,27.0,TF2,87.0,53.0,39.0,59.0,95.0,16.0,93.0
Table_0008,173,351,Player004a,77.0,SnL,80.0,99.0,66.0,73.0,18.0,39.0,49.0
Table_0008,13,492,Player004a,63.0,Doom2dm,20.0,66.0,20.0,72.0,94.0,4.0,65.0
Table_0008,110,914,Player004a,87.0,TF2,74.0,6.0,34.0,21.0,57.0,76.0,91.0
Table_0008,60,614,Player004a,100.0,WormsAr,28.0,44.0,45.0,46.0,73.0,39.0,32.0
Table_0009,15,698,Player004a,3.0,WormsAr,88.0,37.0,29.0,69.0,94.0,15.0,68.0
Table_0009,16,806,Player004a,40.0,Doom2dm,78.0,66.0,67.0,14.0,95.0,34.0,31.0
Table_0009,99,559,Player004a,87.0,TF2,96.0,67.0,58.0,57.0,58.0,2.0,91.0
