Event,EarnedRank,RankScore,Player,Round,GameType,Participation,Abort,Kills,Deaths,Wins,Combos,Frags
Table_0001,48,620,Player0050,69.0,WormsAr,74.0,50.0,41.0,21.0,80.0,25.0,22.0
Table_0001,79,373,Player0050,30.0,Doom2dm,24.0,66.0,7.0,9.0,61.0,18.0,46.0
Table_0001,49,865,Player0050,21.0,TF2,33.0,86.0,75.0,42.0,75.0,82.0,59.0
Table_0001,217,551,Player0050,10.0,SnL,18.0,57.0,79.0,18.0,6.0,54.0,91.0
Table_0002,169,407,Player0050,38.0,SnL,89.0,1.0,51.0,38.0,33.0,4.0,12.0
Table_0002,1,727,Player0050,4.0,Doom2dm,72.0,24.0,24.0,10.0,99.0,5.0,63.0
Table_0002,14,687,Player0050,1.0,TF2,93.0,16.0,3.0,77.0,94.0,39.0,34.0
Table_0002,11,668,Player0050,29.0,WormsAr,41.0,43.0,51.0,65.0,97.0,16.0,38.0
Table_0003,68,617,Player0050,49.0,SnL,28.0,42.0,48.0,71.0,70.0,36.0,53.0
Table_0003,69,740,Player0050,53.0,Doom2dm,96.0,51.0,42.0,17.0,75.0,56.0,19.0
Table_0003,4,948,Player0050,37.0,TF2,50.0,11.0,35.0,83.0,98.0,54.0,96.0
Table_0003,27,733,Player0050,54.0,WormsAr,59.0,82.0,36.0,50.0,88.0,83.0,4.0
Table_0004,89,709,Player0050,88.0,SnL,6.0,15.0,40.0,59.0,62.0,83.0,15.0
Table_0004,99,842,Player0050,26.0,Doom2dm,48.0,31.0,84.0,91.0,53.0,62.0,91.0
Table_0004,115,576,Player0050,57.0,TF2,7.0,99.0,56.0,45.0,50.0,97.0,3.0
Table_0005,121,488,Player0050,40.0,SnL,6.0,34.0,84.0,58.0,48.0,24.0,10.0
Table_0005,137,373,Player0050,19.0,Doom2dm,12.0,61.0,21.0,82.0,40.0,70.0,11.0
Table_0005,3,543,Player0050,74.0,TF2,59.0,83.0,53.0,67.0,100.0,6.0,17.0
Table_0005,58,777,Player0050,40.0,WormsAr,14.0,12.0,55.0,98.0,80.0,59.0,42.0
Table_0006,62,876,Player0050,12.0,WormsAr,20.0,34.0,78.0,67.0,75.0,69.0,53.0
Table_0006,6,755,Player0050,27.0,Doom2dm,37.0,18.0,65.0,21.0,98.0,19.0,7.0
Table_0006,30,759,Player0050,15.0,TF2,75.0,72.0,43.0,67.0,88.0,41.0,81.0
Table_0007,128,893,Player0050,56.0,SnL,93.0,4.0,32.0,30.0,48.0,88.0,75.0
Table_0007,40,861,Player0050,98.0,TF2,28.0,70.0,59.0,5.0,87.0,69.0,45.0
Table_0007,114,655,Player0050,10.0,WormsAr,41.0,19.0,33.0,95.0,50.0,56.0,87.0
Table_0008,38,978,Player0050,56.0,SnL,96.0,12.0,79.0,21.0,82.0,30.0,80.0
Table_0008,226,529,Player0050,94.0,Doom2dm,14.0,7.0,98.0,49.0,10.0,28.0,61.0
Table_0008,139,750,Player0050,20.0,TF2,1.0,21.0,73.0,20.0,40.0,75.0,46.0
Table_0008,55,727,Player0050,48.0,WormsAr,30.0,29.0,7.0,48.0,74.0,53.0,100.0
Table_0009,39,594,Player0050,10.0,WormsAr,76.0,71.0,8.0,20.0,82.0,23.0,77.0
Table_0009,119,425,Player0050,73.0,Doom2dm,42.0,49.0,56.0,47.0,52.0,2.0,46.0
Table_0009,92,758,Player0050,27.0,SnL,27.0,52.0,80.0,7.0,62.0,71.0,4.0
